Image_No,Age,Gender,Race,Emotion
0,38,Male,white,happy
1,48,Male,white,neutral
2,28,Male,black,neutral
3,32,Male,white,neutral
4,43,Male,white,fear
5,23,Male,middle eastern,happy
6,35,Male,black,happy
7,39,Male,white,angry
8,26,Male,white,happy
9,36,Male,white,fear
10,37,Male,white,happy
11,47,Male,white,neutral
12,31,Male,white,surprise
13,38,Male,white,happy
14,39,Male,white,happy
15,43,Male,middle eastern,sad
16,30,Male,middle eastern,happy
17,30,Male,white,sad
18,37,Male,white,neutral
19,30,Male,latino hispanic,happy
20,26,Male,white,happy
21,51,Male,white,happy
22,34,Male,white,sad
23,53,Male,middle eastern,angry
24,34,Male,white,happy
25,28,Male,white,angry
26,25,Male,middle eastern,neutral
27,45,Male,white,happy
28,40,Male,white,neutral
29,41,Male,white,fear
30,28,Male,white,angry
31,32,Male,white,happy
32,41,Male,white,fear
33,24,Male,middle eastern,neutral
34,34,Male,white,fear
35,29,Male,white,sad
36,28,Male,middle eastern,neutral
37,27,Male,white,happy
38,34,Male,black,neutral
39,26,Male,white,happy
40,39,Male,white,fear
41,28,Male,white,fear
42,38,Male,latino hispanic,happy
43,42,Male,white,angry
44,24,Male,latino hispanic,fear
45,27,Male,white,happy
46,23,Male,white,neutral
47,42,Male,white,neutral
48,30,Male,black,neutral
49,21,Male,white,happy
50,34,Male,black,fear
51,31,Male,latino hispanic,fear
52,42,Male,white,neutral
53,31,Male,white,neutral
54,33,Male,white,happy
55,26,Male,white,neutral
56,33,Male,white,happy
57,45,Male,white,angry
58,34,Male,white,happy
59,39,Male,white,neutral
60,34,Male,middle eastern,neutral
61,29,Male,white,happy
62,29,Male,black,neutral
63,33,Male,white,neutral
64,28,Male,latino hispanic,happy
65,30,Male,asian,sad
66,39,Male,white,happy
67,48,Male,latino hispanic,neutral
68,43,Male,white,happy
69,27,Male,white,fear
70,38,Male,white,neutral
71,31,Male,white,fear
72,34,Male,white,neutral
73,43,Male,white,disgust
74,24,Male,white,happy
75,26,Male,white,happy
76,30,Male,black,happy
77,39,Male,white,happy
78,22,Male,latino hispanic,happy
79,34,Male,middle eastern,sad
80,29,Male,white,neutral
81,46,Male,middle eastern,happy
82,42,Male,white,happy
83,32,Male,asian,happy
84,29,Male,white,fear
85,41,Male,white,fear
86,33,Male,white,happy
87,36,Male,white,neutral
88,31,Male,latino hispanic,happy
89,41,Male,white,neutral
90,41,Male,white,neutral
91,36,Male,white,fear
92,34,Male,white,happy
93,33,Male,white,happy
94,33,Male,white,neutral
95,31,Male,white,happy
96,27,Male,white,happy
97,35,Male,white,happy
98,36,Male,white,surprise
99,41,Male,white,sad
